,Institute Id,Name,TLR,RPC,GO,OI,Perception,City,State,Score,Rank,Field
114,IR-D-U-0688,All India Institute of Medical Sciences Bhubaneswar,81.35,36.04,80.92,66.67,49.00,Khordha,Odisha,62.97,15,Medical
115,IR-D-U-0689,All India Institute of Medical Sciences Jodhpur,81.68,48.65,73.58,59.79,27.73,Jodhpur,Rajasthan,62.57,16,Medical
116,IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,87.61,35.66,85.44,53.47,29.36,New Delhi,Delhi,62.36,17,Medical
117,IR-D-U-0473,S.R.M. Institute of Science and Technology,78.34,47.12,76.96,74.88,14.83,Chennai,Tamil Nadu,62.00,18,Medical
118,IR-D-U-0523,King George`s Medical University,79.27,37.24,88.09,52.06,41.74,Lucknow,Uttar Pradesh,61.95,19,Medical
119,IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,80.04,34.39,88.29,65.08,31.19,Chennai,Tamil Nadu,61.62,20,Medical
120,IR-D-U-0363,Siksha `O` Anusandhan,77.84,36.60,80.98,75.12,32.45,Bhubaneswar,Odisha,61.28,21,Medical
121,IR-D-C-16428,Institute of Post Graduate Medical Education and Research,80.81,28.09,91.16,50.92,44.80,Kolkata,West Bengal,60.47,22,Medical
122,IR-D-U-0295,Datta Meghe Institute of Higher Education and Research,74.83,54.78,68.48,72.49,3.12,Wardha,Maharashtra,60.14,23,Medical
123,IR-D-C-6414,Maulana Azad Medical College,82.41,33.18,79.69,52.21,38.01,Delhi,Delhi,59.63,24,Medical
124,IR-D-U-0356,Kalinga Institute of Industrial Technology,78.89,42.49,70.03,72.86,18.79,Bhubaneswar,Odisha,59.60,25,Medical
125,IR-D-U-0686,All India Institute of Medical Sciences Patna,78.07,33.17,72.52,60.79,42.91,Patna,Bihar,58.24,26,Medical
126,IR-D-U-0496,Aligarh Muslim University,76.04,35.05,81.61,61.64,22.73,Aligarh,Uttar Pradesh,58.07,27,Medical
127,IR-D-C-40453,St. John's Medical College,80.74,29.85,74.67,68.46,30.68,Bengaluru,Karnataka,58.03,28,Medical
128,IR-D-C-22461,Lady Hardinge Medical College,82.86,26.51,75.06,61.59,38.22,New Delhi,Delhi,57.80,29,Medical
